Departure_Indicator,Distance,Angle Sum,nArrOut,nArrIn,nDepOut,nDepIn,Temperature,Wind Speed,Visibility
0,2950.0,180.0,9,5,4,5,77.0,8.05,7.0
0,10070.0,315.0,7,6,7,5,77.0,8.05,7.0
0,5750.0,180.0,5,5,2,5,77.0,8.05,7.0
0,2950.0,180.0,8,3,8,4,77.0,8.05,7.0
0,5700.0,180.0,8,3,0,4,77.0,8.05,7.0
0,11230.0,225.0,8,4,10,7,77.0,8.05,7.0
0,9910.0,240.0,9,4,0,0,77.0,8.05,7.0
0,8400.0,225.0,11,4,14,4,77.0,8.05,7.0
0,9910.0,240.0,11,5,0,7,77.0,8.05,7.0
0,13790.0,285.0,12,5,5,5,77.0,8.05,7.0
0,9910.0,240.0,12,6,0,6,77.0,8.05,7.0
0,11230.0,225.0,12,5,2,2,77.0,8.05,7.0
0,5750.0,180.0,13,6,2,4,77.0,8.05,7.0
0,11230.0,225.0,13,5,2,3,77.0,8.05,7.0
0,5750.0,180.0,13,6,9,5,77.0,8.05,7.0
0,5700.0,180.0,15,7,0,6,77.0,8.05,7.0
0,5750.0,180.0,16,7,1,3,77.0,8.05,7.0
0,13790.0,285.0,16,8,2,5,77.0,8.05,7.0
0,9800.0,225.0,18,7,1,5,77.0,8.05,7.0
