Departure_Indicator,Distance,Angle Sum,nArrOut,nArrIn,nDepOut,nDepIn,Temperature,Wind Speed,Visibility
0,8100.0,275.0,2,5,9,2,64.9,8.05,10.0
0,6520.0,290.0,2,4,6,0,64.9,8.05,10.0
0,5561.0,200.0,1,4,3,1,64.9,8.05,10.0
0,5250.0,320.0,2,1,7,0,64.9,8.05,10.0
0,5250.0,320.0,5,2,6,0,64.9,8.05,10.0
0,8100.0,275.0,5,3,4,1,64.9,8.05,10.0
0,11230.0,395.0,9,0,6,2,64.9,8.05,10.0
0,6520.0,290.0,9,1,2,0,64.9,8.05,10.0
0,5540.0,275.0,9,2,8,2,64.9,8.05,10.0
0,11230.0,395.0,10,3,6,2,66.9,10.35,10.0
0,5540.0,275.0,10,2,6,0,66.9,10.35,10.0
0,11230.0,395.0,11,2,5,2,66.9,10.35,10.0
0,5540.0,275.0,11,2,6,1,66.9,10.35,10.0
0,6520.0,290.0,8,1,2,1,66.9,10.35,10.0
0,7100.0,275.0,9,2,5,2,66.9,10.35,10.0
0,6240.0,275.0,10,2,7,0,66.9,10.35,10.0
0,5250.0,320.0,6,2,2,0,66.9,10.35,10.0
0,5561.0,200.0,6,1,5,2,66.9,10.35,10.0
0,5250.0,320.0,7,1,9,1,66.9,10.35,10.0
0,6520.0,290.0,6,2,7,0,66.9,10.35,10.0
0,11230.0,395.0,6,2,4,3,66.9,10.35,10.0
0,10090.0,395.0,8,1,1,3,66.9,10.35,10.0
0,5250.0,320.0,11,2,2,2,66.9,10.35,10.0
0,5561.0,200.0,11,2,2,3,70.0,9.2,10.0
0,4400.0,275.0,11,3,2,2,70.0,9.2,10.0
0,4440.0,210.0,10,4,1,1,70.0,9.2,10.0
0,5561.0,200.0,9,5,2,0,70.0,9.2,10.0
0,5561.0,200.0,7,4,8,2,70.0,9.2,10.0
0,5561.0,200.0,7,4,2,3,70.0,9.2,10.0
0,6520.0,290.0,7,5,2,3,70.0,9.2,10.0
0,8100.0,275.0,7,4,4,3,70.0,9.2,10.0
0,5540.0,275.0,4,5,4,1,70.0,9.2,10.0
0,5561.0,200.0,6,3,9,1,70.0,9.2,10.0
0,5561.0,200.0,8,4,3,0,70.0,9.2,10.0
0,6520.0,290.0,9,1,7,0,70.0,9.2,10.0
0,5250.0,320.0,11,1,4,3,70.0,9.2,10.0
0,7100.0,275.0,10,2,2,1,70.0,9.2,10.0
0,5540.0,275.0,9,2,6,3,70.0,9.2,10.0
0,5540.0,275.0,10,2,2,2,70.0,9.2,10.0
0,5561.0,200.0,10,3,9,2,70.0,9.2,10.0
0,8100.0,275.0,11,4,2,3,70.0,9.2,10.0
0,11230.0,395.0,10,5,5,1,70.0,9.2,10.0
0,7100.0,275.0,13,4,1,1,70.0,9.2,10.0
0,7100.0,275.0,14,2,0,0,71.1,8.05,10.0
0,4440.0,210.0,16,3,3,2,71.1,8.05,10.0
0,7100.0,275.0,18,3,0,1,71.1,8.05,10.0
0,5540.0,275.0,15,0,5,0,71.1,8.05,10.0
0,5540.0,275.0,13,1,0,1,71.1,8.05,10.0
0,6520.0,290.0,11,2,4,0,71.1,8.05,10.0
0,5250.0,320.0,12,3,4,2,71.1,8.05,10.0
0,6240.0,275.0,12,3,0,0,71.1,8.05,10.0
0,11230.0,395.0,11,4,5,0,71.1,8.05,10.0
0,6240.0,275.0,9,5,9,1,71.1,8.05,10.0
0,11230.0,395.0,8,5,5,0,71.1,8.05,10.0
0,5561.0,200.0,10,6,8,2,71.1,8.05,10.0
0,11230.0,395.0,10,6,1,1,71.1,8.05,10.0
0,6520.0,290.0,9,6,0,0,71.1,8.05,10.0
0,6240.0,275.0,8,7,0,0,71.1,8.05,10.0
0,5540.0,275.0,8,7,4,2,71.1,8.05,10.0
0,7100.0,275.0,5,7,0,0,71.1,8.05,10.0
0,5540.0,275.0,6,8,7,4,71.1,8.05,10.0
0,6520.0,290.0,6,9,0,0,71.1,8.05,10.0
0,5561.0,200.0,8,8,4,3,71.1,8.05,10.0
0,5561.0,200.0,8,8,4,0,71.1,8.05,10.0
0,5540.0,275.0,9,7,4,2,71.1,8.05,10.0
0,6240.0,275.0,13,6,0,0,71.1,8.05,10.0
0,8100.0,275.0,13,7,6,1,71.1,8.05,10.0
0,5250.0,320.0,13,8,4,3,71.1,8.05,10.0
0,5540.0,275.0,13,9,6,1,71.1,8.05,10.0
0,13000.0,450.0,13,8,4,2,71.1,8.05,10.0
